tool_name,input_size,actual_memory_bytes,predicted_memory_bytes,total_allocated_bytes,method_name,wastage_mb,failed,exec_time_s,retry_penalty_time_s,num_retries,confidence,source
burrows-wheeler-aligner,406,6005,6002,12004,FAMR_1,5999,false,231,166,1,0.9983913048973714,FAMR
burrows-wheeler-aligner,406,5995,6002,6002,FAMR_1,7,false,222,0,0,0.9983913048973714,FAMR
burrows-wheeler-aligner,406,5993,6002,6002,FAMR_1,9,false,238,0,0,0.9983913048973714,FAMR
burrows-wheeler-aligner,204,5998,5984,11968,FAMR_1,5970,false,157,102,1,0.9973709534074806,FAMR
burrows-wheeler-aligner,204,5979,5984,5984,FAMR_1,5,false,134,0,0,0.9973709534074806,FAMR
burrows-wheeler-aligner,204,5970,5984,5984,FAMR_1,14,false,129,0,0,0.9973709534074806,FAMR
burrows-wheeler-aligner,204,6014,5984,11968,FAMR_1,5954,false,150,94,1,0.9973709534074806,FAMR
burrows-wheeler-aligner,204,5967,5984,5984,FAMR_1,17,false,150,0,0,0.9973709534074806,FAMR
burrows-wheeler-aligner,204,5963,5984,5984,FAMR_1,21,false,150,0,0,0.9973709534074806,FAMR
burrows-wheeler-aligner,204,5974,5984,5984,FAMR_1,10,false,129,0,0,0.9973709534074806,FAMR
burrows-wheeler-aligner,204,5975,5984,5984,FAMR_1,9,false,116,0,0,0.9973709534074806,FAMR
burrows-wheeler-aligner,204,5958,5984,5984,FAMR_1,26,false,175,0,0,0.9973709534074806,FAMR
burrows-wheeler-aligner,204,5950,5984,5984,FAMR_1,34,false,123,0,0,0.9973709534074806,FAMR
burrows-wheeler-aligner,610,5973,6035,6035,FAMR_1,62,false,466,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,5968,6035,6035,FAMR_1,67,false,434,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6047,6035,12070,FAMR_1,6023,false,342,281,1,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6049,6035,12070,FAMR_1,6021,false,341,281,1,0.9966110004708677,FAMR
burrows-wheeler-aligner,610,6026,6035,6035,FAMR_1,9,false,400,0,0,0.9966110004708677,FAMR
burrows-wheeler-aligner,6640,6244,0,0,FAMR_1,0,true,3721,0,0,0,no_prediction
burrows-wheeler-aligner,6640,6234,0,0,FAMR_1,0,true,2867,0,0,0,no_prediction
burrows-wheeler-aligner,5103,6121,6199,6199,FAMR_1,78,false,2282,0,0,0.9961965474974678,FAMR
burrows-wheeler-aligner,6640,6246,0,0,FAMR_1,0,true,3081,0,0,0,no_prediction
